"brand";"model_year";"milage";"fuel_type";"engine";"transmission";"ext_col";"int_col";"accident";"clean_title";"price_dollar";"horsepower";"cylinders"
"Chevrolet";2000;133510;"E85 Flex Fuel";"120.0HP 2.2L 4 Cylinder Engine Flex Fuel Capability";"Automatic";"Blue";"Black";"None reported";"Yes";4500;120;4
"Chevrolet";2021;52000;"Gasoline";"355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel";"Automatic";"Blue";"Black";"None reported";"Yes";61000;355;8
"Hyundai";2022;11650;"Gasoline";"276.0HP 2.0L 4 Cylinder Engine Gasoline Fuel";"Automatic";"Black";"Black";"None reported";"Yes";32300;276;4
"Mercedes-Benz";2021;17500;"Gasoline";"382.0HP 2.0L 4 Cylinder Engine Gasoline Fuel";"Automatic";"Gray";"Black";"None reported";"Yes";59995;382;4
"BMW";2015;69000;"Gasoline";"445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel";"Automatic";"Gray";"Black";"None reported";"Yes";25700;445;8
"Mercedes-Benz";2018;28800;"Gasoline";"362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel";"Automatic";"Silver";"Black";"None reported";"Yes";48000;362;6
"Dodge";2006;300183;"Gasoline";"345.0HP 5.7L 8 Cylinder Engine Gasoline Fuel";"Automatic";"Silver";"Gray";"At least 1 accident or damage reported";"Yes";10900;345;8
"Kia";2011;171000;"Gasoline";"276.0HP 3.5L V6 Cylinder Engine Gasoline Fuel";"Automatic";"Black";"Black";"None reported";"Yes";5999;276;6
"Lexus";2016;118700;"Gasoline";"383.0HP 5.7L 8 Cylinder Engine Gasoline Fuel";"Automatic";"Black";"Beige";"None reported";"Yes";46900;383;8
"Jeep";2017;119000;"Gasoline";"180.0HP 2.4L 4 Cylinder Engine Gasoline Fuel";"Automatic";"Red";"Black";"None reported";"Yes";15900;180;4
"Audi";2012;125575;"Gasoline";"211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel";"Automatic";"Silver";"Black";"None reported";"Yes";8999;211;4
"Hyundai";2007;16200;"Gasoline";"173.0HP 2.7L V6 Cylinder Engine Gasoline Fuel";"Automatic";"Gold";"Beige";"None reported";"Yes";8200;173;6
"BMW";2014;70000;"Gasoline";"240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel";"Automatic";"White";"Beige";"At least 1 accident or damage reported";"Yes";20000;240;4
"Bentley";2011;20200;"E85 Flex Fuel";"552.0HP 6.0L 12 Cylinder Engine Flex Fuel Capability";"Automatic";"Black";"Black";"None reported";"Yes";79950;552;12
"Audi";2012;54000;"Gasoline";"310.0HP 3.0L V6 Cylinder Engine Gasoline Fuel";"Automatic";"Black";"Brown";"At least 1 accident or damage reported";"Yes";36880;310;6
"MINI";2017;24280;"Gasoline";"228.0HP 2.0L 4 Cylinder Engine Gasoline Fuel";"Automatic";"Black";"Black";"At least 1 accident or damage reported";"Yes";29000;228;4
"Toyota";2016;89148;"Gasoline";"268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel";"Automatic";"Black";"Black";"None reported";"Yes";17500;268;6
"Porsche";2017;73043;"Gasoline";"300.0HP 3.6L V6 Cylinder Engine Gasoline Fuel";"Automatic";"White";"Black";"None reported";"Yes";30990;300;6
"Mercedes-Benz";2017;60000;"Gasoline";"503.0HP 4.0L 8 Cylinder Engine Gasoline Fuel";"Automatic";"Gray";"Black";"At least 1 accident or damage reported";"Yes";52500;503;8
"Hummer";2005;110900;"Gasoline";"325.0HP 6.0L 8 Cylinder Engine Gasoline Fuel";"Automatic";"Gray";"Black";"None reported";"Yes";19500;325;8
"Porsche";2013;39000;"Gasoline";"400.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel";"Automatic";"Blue";"Black";"None reported";"Yes";73000;400;6
"Mercedes-Benz";2016;120000;"Gasoline";"208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel";"Automatic";"Black";"Black";"None reported";"Yes";19800;208;4
"Chrysler";2009;134602;"Gasoline";"250.0HP 3.5L V6 Cylinder Engine Gasoline Fuel";"Automatic";"Blue";"Black";"None reported";"Yes";7500;250;6
"Audi";2010;83500;"Gasoline";"200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel";"Automatic";"Silver";"Black";"None reported";"Yes";6500;200;4
"Ford";2014;37060;"Gasoline";"420.0HP 5.0L 8 Cylinder Engine Gasoline Fuel";"Manual";"Black";"Black";"None reported";"Yes";28500;420;8
"Acura";2010;97700;"Gasoline";"300.0HP 3.7L V6 Cylinder Engine Gasoline Fuel";"Automatic";"Blue";"Beige";"None reported";"Yes";10995;300;6
"Volvo";2018;40000;"Plug-In Hybrid";"400.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas";"Automatic";"Black";"Black";"None reported";"Yes";42000;400;4
"Mercedes-Benz";2014;186000;"Gasoline";"302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel";"Automatic";"Black";"Beige";"At least 1 accident or damage reported";"Yes";10000;302;6
"Lexus";2014;104000;"Gasoline";"306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel";"Automatic";"Black";"Black";"None reported";"Yes";21000;306;6
"BMW";2023;8500;"Hybrid";"382.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid";"Automatic";"Gray";"Beige";"None reported";"Yes";67900;382;6
"Cadillac";2023;6090;"Gasoline";"237.0HP 2.0L 4 Cylinder Engine Gasoline Fuel";"Automatic";"White";"Beige";"None reported";"Yes";46900;237;4
"Audi";2019;47523;"Gasoline";"248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel";"Automatic";"Black";"Black";"None reported";"Yes";31000;248;4
"Chrysler";2006;43000;"Gasoline";"425.0HP 6.1L 8 Cylinder Engine Gasoline Fuel";"Automatic";"Silver";"Black";"At least 1 accident or damage reported";"Yes";19995;425;8
"Bentley";2017;14684;"Gasoline";"582.0HP 6.0L 12 Cylinder Engine Gasoline Fuel";"Automatic";"White";"White";"None reported";"Yes";130000;582;12
"BMW";2019;57800;"Gasoline";"425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel";"Automatic";"Black";"Red";"None reported";"Yes";55999;425;6
"Toyota";2023;952;"Gasoline";"300.0HP 1.6L 3 Cylinder Engine Gasoline Fuel";"Manual";"Silver";"Gray";"None reported";"Yes";49950;300;3
"Audi";2019;21240;"Gasoline";"444.0HP 2.9L V6 Cylinder Engine Gasoline Fuel";"Automatic";"Black";"Black";"At least 1 accident or damage reported";"Yes";59950;444;6
"Porsche";2019;59338;"Gasoline";"335.0HP 3.0L V6 Cylinder Engine Gasoline Fuel";"Automatic";"Black";"Black";"None reported";"Yes";42499;335;6
"Maserati";2019;23230;"Gasoline";"424.0HP 3.0L V6 Cylinder Engine Gasoline Fuel";"Automatic";"Black";"Black";"None reported";"Yes";44999;424;6
"Jaguar";2017;48000;"Gasoline";"340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel";"Automatic";"Red";"Black";"At least 1 accident or damage reported";"Yes";30000;340;6
"Lexus";2005;41059;"Gasoline";"225.0HP 3.3L V6 Cylinder Engine Gasoline Fuel";"Automatic";"White";"Beige";"None reported";"Yes";11100;225;6
"Porsche";2015;11500;"Gasoline";"340.0HP 3.4L Flat 6 Cylinder Engine Gasoline Fuel";"Automatic";"Silver";"–";"None reported";"Yes";72000;340;6
"Genesis";2021;9950;"Gasoline";"365.0HP 3.3L V6 Cylinder Engine Gasoline Fuel";"Automatic";"Silver";"Blue";"None reported";"Yes";53950;365;6
"Volkswagen";2023;633;"Gasoline";"315.0HP 2.0L 4 Cylinder Engine Gasoline Fuel";"Manual";"White";"Black";"None reported";"Yes";47999;315;4
"Hyundai";2015;66000;"Hybrid";"199.0HP 2.4L 4 Cylinder Engine Gas/Electric Hybrid";"Automatic";"White";"Gray";"At least 1 accident or damage reported";"Yes";15900;199;4
"Audi";2014;59715;"Gasoline";"560.0HP 4.0L 8 Cylinder Engine Gasoline Fuel";"Automatic";"Gray";"Black";"At least 1 accident or damage reported";"Yes";45000;560;8
"BMW";2012;85252;"Gasoline";"326.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel";"Automatic";"Black";"Black";"None reported";"Yes";18500;326;6
"Mercedes-Benz";2020;17900;"Hybrid";"362.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid";"Automatic";"Black";"Black";"At least 1 accident or damage reported";"Yes";80000;362;6
"BMW";2016;25500;"Gasoline";"560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel";"Automatic";"White";"Black";"None reported";"Yes";55000;560;8
"Hyundai";2023;3800;"Gasoline";"276.0HP 2.0L 4 Cylinder Engine Gasoline Fuel";"Manual";"White";"Black";"None reported";"Yes";34000;276;4
"Rivian";2023;2800;"Electric";"835.0HP Electric Motor Electric Fuel System";"Automatic";"White";"Green";"None reported";"Yes";92000;835;0
"Mercedes-Benz";2018;33000;"Gasoline";"241.0HP 2.0L 4 Cylinder Engine Gasoline Fuel";"Automatic";"Red";"Black";"At least 1 accident or damage reported";"Yes";29900;241;4
"BMW";2016;76009;"Gasoline";"300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel";"Automatic";"White";"Beige";"None reported";"Yes";24950;300;6
"Lexus";2015;48000;"Gasoline";"306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel";"Automatic";"Orange";"Red";"None reported";"Yes";32900;306;6
"BMW";2005;91420;"Gasoline";"215.0HP 2.5L Straight 6 Cylinder Engine Gasoline Fuel";"Automatic";"Black";"Black";"None reported";"Yes";8900;215;6
"Toyota";2003;124756;"Gasoline";"130.0HP 1.8L 4 Cylinder Engine Gasoline Fuel";"Manual";"Beige";"Beige";"At least 1 accident or damage reported";"Yes";4995;130;4
"GMC";2012;116226;"Gasoline";"288.0HP 3.6L V6 Cylinder Engine Gasoline Fuel";"Automatic";"Black";"Black";"None reported";"Yes";7900;288;6
"BMW";2019;41500;"Plug-In Hybrid";"369.0HP 1.5L 3 Cylinder Engine Plug-In Electric/Gas";"Automatic";"White";"Black";"None reported";"Yes";86000;369;3
"Lexus";2013;87001;"Hybrid";"200.0HP 2.5L 4 Cylinder Engine Gas/Electric Hybrid";"Automatic";"Gold";"Beige";"None reported";"Yes";17995;200;4
"Chevrolet";2014;139804;"Gasoline";"195.0HP 4.3L V6 Cylinder Engine Gasoline Fuel";"Automatic";"White";"Gray";"At least 1 accident or damage reported";"Yes";14500;195;6
"Jeep";2022;27300;"Gasoline";"285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel";"Automatic";"Green";"Black";"None reported";"Yes";47500;285;6
"BMW";2014;36812;"Gasoline";"240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel";"Automatic";"White";"Beige";"None reported";"Yes";27000;240;4
"Land";2016;144000;"Gasoline";"340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel";"Automatic";"Black";"Black";"At least 1 accident or damage reported";"Yes";18000;340;6
"Cadillac";2019;44500;"Gasoline";"237.0HP 2.0L 4 Cylinder Engine Gasoline Fuel";"Automatic";"Blue";"White";"None reported";"Yes";28900;237;4
"Bentley";2005;8332;"Gasoline";"400.0HP 6.75L 8 Cylinder Engine Gasoline Fuel";"Automatic";"White";"Beige";"None reported";"Yes";47350;400;8
"Mercedes-Benz";2016;69000;"Gasoline";"550.0HP 5.5L 8 Cylinder Engine Gasoline Fuel";"Automatic";"Black";"Brown";"None reported";"Yes";36500;550;8
"Ford";2013;105000;"E85 Flex Fuel";"300.0HP 3.7L V6 Cylinder Engine Flex Fuel Capability";"Automatic";"White";"Black";"At least 1 accident or damage reported";"Yes";6600;300;6
"Audi";2011;92203;"Gasoline";"211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel";"Automatic";"Red";"Beige";"None reported";"Yes";9995;211;4
"Nissan";2010;15600;"Gasoline";"485.0HP 3.8L V6 Cylinder Engine Gasoline Fuel";"Automatic";"White";"Black";"None reported";"Yes";69500;485;6
"Toyota";2010;72348;"Gasoline";"132.0HP 1.8L 4 Cylinder Engine Gasoline Fuel";"Automatic";"Red";"Gray";"At least 1 accident or damage reported";"Yes";9995;132;4
"Rivian";2023;2500;"Electric";"835.0HP Electric Motor Electric Fuel System";"Automatic";"Green";"White";"None reported";"Yes";94000;835;0
"Porsche";2016;96000;"Plug-In Hybrid";"416.0HP 3.0L V6 Cylinder Engine Plug-In Electric/Gas";"Automatic";"White";"Red";"At least 1 accident or damage reported";"Yes";23000;416;6
"INFINITI";2016;52750;"Hybrid";"360.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid";"Automatic";"White";"Black";"At least 1 accident or damage reported";"Yes";28998;360;6
"BMW";2015;41000;"Gasoline";"445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel";"Automatic";"Black";"Black";"None reported";"Yes";30000;445;8
"Mercedes-Benz";2016;62000;"Gasoline";"469.0HP 4.0L 8 Cylinder Engine Gasoline Fuel";"Automatic";"Black";"Black";"None reported";"Yes";40000;469;8
"Land";2006;153843;"Gasoline";"300.0HP 4.4L 8 Cylinder Engine Gasoline Fuel";"Automatic";"Red";"Beige";"At least 1 accident or damage reported";"Yes";9950;300;8
"Ford";2015;194454;"Gasoline";"169.0HP 2.5L 4 Cylinder Engine Gasoline Fuel";"Automatic";"White";"Black";"None reported";"Yes";9888;169;4
"Lexus";2021;21000;"Gasoline";"383.0HP 5.7L 8 Cylinder Engine Gasoline Fuel";"Automatic";"White";"Black";"None reported";"Yes";89999;383;8
"Dodge";2006;218000;"Gasoline";"330.0HP 5.7L 8 Cylinder Engine Gasoline Fuel";"Automatic";"Red";"Gray";"None reported";"Yes";12990;330;8
"Nissan";2021;67800;"Gasoline";"400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel";"Automatic";"Silver";"Black";"At least 1 accident or damage reported";"Yes";36500;400;8
"Porsche";2014;79000;"Gasoline";"275.0HP 2.7L Flat 6 Cylinder Engine Gasoline Fuel";"Automatic";"Red";"Black";"At least 1 accident or damage reported";"Yes";42999;275;6
"Chevrolet";2006;66840;"Gasoline";"303.0HP 5.3L 8 Cylinder Engine Gasoline Fuel";"Automatic";"White";"Gray";"At least 1 accident or damage reported";"Yes";12000;303;8
"BMW";2013;86000;"Gasoline";"560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel";"Automatic";"Blue";"White";"None reported";"Yes";32000;560;8
"Chevrolet";2005;75000;"Gasoline";"240.0HP 3.8L V6 Cylinder Engine Gasoline Fuel";"Automatic";"Black";"Black";"None reported";"Yes";12500;240;6
"Land";2015;84000;"Gasoline";"240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel";"Automatic";"Beige";"Black";"At least 1 accident or damage reported";"Yes";22800;240;4
"Audi";2017;52500;"Gasoline";"450.0HP 4.0L 8 Cylinder Engine Gasoline Fuel";"Automatic";"Gray";"Gray";"None reported";"Yes";39999;450;8
"GMC";2011;120000;"Gasoline";"288.0HP 3.6L V6 Cylinder Engine Gasoline Fuel";"Automatic";"Silver";"Gray";"None reported";"Yes";7500;288;6
"Ferrari";2016;19987;"Gasoline";"651.0HP 6.3L 12 Cylinder Engine Gasoline Fuel";"Automatic";"Black";"Brown";"None reported";"Yes";149900;651;12
"Kia";2017;36486;"Gasoline";"420.0HP 5.0L 8 Cylinder Engine Gasoline Fuel";"Automatic";"Black";"Beige";"At least 1 accident or damage reported";"Yes";23950;420;8
"Ford";2013;162100;"E85 Flex Fuel";"255.0HP 5.4L 8 Cylinder Engine Flex Fuel Capability";"Automatic";"Black";"Gray";"None reported";"Yes";12500;255;8
"Tesla";2022;13079;"Electric";"455.0HP Electric Motor Electric Fuel System";"Automatic";"Black";"White";"None reported";"Yes";47000;455;0
"Subaru";2020;32744;"Gasoline";"182.0HP 2.5L 4 Cylinder Engine Gasoline Fuel";"Automatic";"Black";"Gray";"None reported";"Yes";24000;182;4
"Porsche";2012;54000;"Gasoline";"300.0HP 3.6L V6 Cylinder Engine Gasoline Fuel";"Automatic";"White";"–";"At least 1 accident or damage reported";"Yes";26000;300;6
"Toyota";2008;202055;"Gasoline";"236.0HP 4.0L V6 Cylinder Engine Gasoline Fuel";"Automatic";"Silver";"Gray";"At least 1 accident or damage reported";"Yes";8500;236;6
"RAM";2019;65000;"Diesel";"370.0HP 6.7L Straight 6 Cylinder Engine Diesel Fuel";"Automatic";"Black";"Black";"None reported";"Yes";65000;370;6
"Cadillac";2010;49620;"Gasoline";"275.0HP 4.6L 8 Cylinder Engine Gasoline Fuel";"Automatic";"White";"Gray";"None reported";"Yes";10499;275;8
"Toyota";1997;213000;"Gasoline";"212.0HP 4.5L Straight 6 Cylinder Engine Gasoline Fuel";"Automatic";"White";"Beige";"None reported";"Yes";26500;212;6
"Nissan";2020;16010;"Gasoline";"565.0HP 3.8L V6 Cylinder Engine Gasoline Fuel";"Automatic";"White";"Black";"None reported";"Yes";114000;565;6
"Audi";2021;68000;"Gasoline";"248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel";"Automatic";"Blue";"Black";"None reported";"Yes";36499;248;4
"Lexus";1999;82000;"Gasoline";"230.0HP 4.7L 8 Cylinder Engine Gasoline Fuel";"Automatic";"White";"Beige";"None reported";"Yes";25000;230;8
"Ford";2012;129000;"Gasoline";"171.0HP 2.5L 4 Cylinder Engine Gasoline Fuel";"Automatic";"White";"Gray";"At least 1 accident or damage reported";"Yes";7000;171;4
"Lexus";2014;106731;"Gasoline";"360.0HP 4.6L 8 Cylinder Engine Gasoline Fuel";"Automatic";"White";"Beige";"At least 1 accident or damage reported";"Yes";30000;360;8
"Ford";2019;34672;"Gasoline";"400.0HP 3.5L V6 Cylinder Engine Gasoline Fuel";"Automatic";"White";"White";"None reported";"Yes";45500;400;6
"Chevrolet";2010;55900;"Gasoline";"252.0HP 3.6L V6 Cylinder Engine Gasoline Fuel";"Automatic";"Beige";"Beige";"None reported";"Yes";8950;252;6
"Audi";2015;82000;"Gasoline";"220.0HP 2.0L 4 Cylinder Engine Gasoline Fuel";"Automatic";"White";"Brown";"None reported";"Yes";17000;220;4
"Lincoln";2014;78568;"Hybrid";"188.0HP 2.0L 4 Cylinder Engine Gas/Electric Hybrid";"Automatic";"Blue";"Beige";"None reported";"Yes";15500;188;4
"Ford";2018;95000;"E85 Flex Fuel";"275.0HP 3.7L V6 Cylinder Engine Flex Fuel Capability";"Automatic";"White";"Gray";"None reported";"Yes";43000;275;6
"Volvo";2011;88300;"Gasoline";"235.0HP 3.2L Straight 6 Cylinder Engine Gasoline Fuel";"Automatic";"Blue";"Beige";"At least 1 accident or damage reported";"Yes";11500;235;6
"Chevrolet";2013;98000;"E85 Flex Fuel";"320.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability";"Automatic";"Silver";"Black";"At least 1 accident or damage reported";"Yes";27499;320;8
"Audi";2018;20675;"Gasoline";"400.0HP 2.5L 5 Cylinder Engine Gasoline Fuel";"Automatic";"Gray";"Gray";"None reported";"Yes";76000;400;5
"Lincoln";2008;95000;"Gasoline";"300.0HP 5.4L 8 Cylinder Engine Gasoline Fuel";"Automatic";"Black";"Black";"None reported";"Yes";10900;300;8
"Hyundai";2010;107000;"Gasoline";"138.0HP 2.0L 4 Cylinder Engine Gasoline Fuel";"Automatic";"Blue";"Blue";"At least 1 accident or damage reported";"Yes";6250;138;4
"Audi";2016;60000;"Gasoline";"354.0HP 3.0L V6 Cylinder Engine Gasoline Fuel";"Automatic";"Black";"Black";"At least 1 accident or damage reported";"Yes";24700;354;6
"Mitsubishi";2012;33000;"Gasoline";"291.0HP 2.0L 4 Cylinder Engine Gasoline Fuel";"Manual";"Black";"Black";"None reported";"Yes";34999;291;4
"Tesla";2023;500;"Electric";"455.0HP Electric Motor Electric Fuel System";"Automatic";"Black";"White";"None reported";"Yes";60000;455;0
"Mercedes-Benz";2016;108500;"Gasoline";"523.0HP 6.0L 12 Cylinder Engine Gasoline Fuel";"Automatic";"White";"Beige";"None reported";"Yes";63500;523;12
"Nissan";2017;37800;"Gasoline";"565.0HP 3.8L V6 Cylinder Engine Gasoline Fuel";"Automatic";"Orange";"Orange";"None reported";"Yes";149500;565;6
"Ford";2022;26500;"Gasoline";"440.0HP 3.5L V6 Cylinder Engine Gasoline Fuel";"Automatic";"White";"Beige";"None reported";"Yes";65900;440;6
"Lexus";2019;19050;"Gasoline";"383.0HP 5.7L 8 Cylinder Engine Gasoline Fuel";"Automatic";"Black";"Beige";"None reported";"Yes";76900;383;8
"Chevrolet";2020;52000;"Gasoline";"310.0HP 3.6L V6 Cylinder Engine Gasoline Fuel";"Automatic";"White";"Black";"None reported";"Yes";35800;310;6
"Mercedes-Benz";2014;65000;"Diesel";"188.0HP 3.0L V6 Cylinder Engine Diesel Fuel";"Automatic";"Black";"Black";"At least 1 accident or damage reported";"Yes";54999;188;6
"BMW";2004;140000;"Gasoline";"225.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel";"Automatic";"Black";"Beige";"None reported";"Yes";6730;225;6
"Ford";2018;75600;"Gasoline";"181.0HP 1.5L 4 Cylinder Engine Gasoline Fuel";"Automatic";"Blue";"Black";"At least 1 accident or damage reported";"Yes";14950;181;4
"Lincoln";2015;117292;"Gasoline";"240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel";"Automatic";"Beige";"Beige";"None reported";"Yes";12000;240;4
"Genesis";2017;26000;"Gasoline";"420.0HP 5.0L 8 Cylinder Engine Gasoline Fuel";"Automatic";"White";"Beige";"None reported";"Yes";33600;420;8
"Mercedes-Benz";2013;115000;"Gasoline";"429.0HP 4.6L 8 Cylinder Engine Gasoline Fuel";"Automatic";"Black";"Black";"At least 1 accident or damage reported";"Yes";36000;429;8
"Porsche";2005;28500;"Gasoline";"355.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel";"Manual";"Silver";"Black";"None reported";"Yes";63500;355;6
"Mercedes-Benz";2018;51700;"Gasoline";"375.0HP 2.0L 4 Cylinder Engine Gasoline Fuel";"Automatic";"White";"Black";"None reported";"Yes";32000;375;4
"Ford";2008;148949;"Gasoline";"263.0HP 3.5L V6 Cylinder Engine Gasoline Fuel";"Automatic";"Blue";"Beige";"None reported";"Yes";3900;263;6
"BMW";2018;39300;"Gasoline";"320.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel";"Automatic";"White";"Beige";"At least 1 accident or damage reported";"Yes";31750;320;6
"Honda";2008;82323;"Gasoline";"237.0HP 2.2L 4 Cylinder Engine Gasoline Fuel";"Manual";"Black";"Black";"None reported";"Yes";28500;237;4
"Ford";2001;109357;"Gasoline";"310.0HP 6.8L 10 Cylinder Engine Gasoline Fuel";"Automatic";"Green";"Beige";"None reported";"Yes";12749;310;10
"Mercedes-Benz";2004;46000;"Gasoline";"302.0HP 5.0L 8 Cylinder Engine Gasoline Fuel";"Automatic";"White";"Gray";"None reported";"Yes";18853;302;8
"Mercedes-Benz";2007;123112;"Gasoline";"382.0HP 5.5L 8 Cylinder Engine Gasoline Fuel";"Automatic";"Silver";"Black";"At least 1 accident or damage reported";"Yes";104999;382;8
"INFINITI";2007;37100;"Gasoline";"306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel";"Manual";"Gray";"Black";"None reported";"Yes";16900;306;6
"Volkswagen";2016;89000;"Gasoline";"210.0HP 2.0L 4 Cylinder Engine Gasoline Fuel";"Manual";"Silver";"Black";"None reported";"Yes";14500;210;4
"Lincoln";2019;67073;"Gasoline";"450.0HP 3.5L V6 Cylinder Engine Gasoline Fuel";"Automatic";"Black";"Black";"At least 1 accident or damage reported";"Yes";47999;450;6
"Tesla";2023;8200;"Electric";"670.0HP Electric Motor Electric Fuel System";"Automatic";"Black";"Black";"None reported";"Yes";93999;670;0
"Mercedes-Benz";2018;41000;"Gasoline";"563.0HP 5.5L 8 Cylinder Engine Gasoline Fuel";"Automatic";"Gray";"Black";"None reported";"Yes";108900;563;8
"Volkswagen";2012;123815;"Gasoline";"283.0HP 3.6L V6 Cylinder Engine Gasoline Fuel";"Automatic";"Black";"Gray";"None reported";"Yes";5000;283;6
"Land";2008;114287;"Gasoline";"400.0HP 4.2L 8 Cylinder Engine Gasoline Fuel";"Automatic";"Black";"Black";"None reported";"Yes";9900;400;8
"Acura";2015;75000;"Gasoline";"150.0HP 2.0L 4 Cylinder Engine Gasoline Fuel";"Automatic";"Gold";"Beige";"None reported";"Yes";14500;150;4
"BMW";2016;70582;"Gasoline";"300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel";"Automatic";"Black";"White";"At least 1 accident or damage reported";"Yes";35000;300;6
"Porsche";2014;33088;"Gasoline";"325.0HP 3.4L Flat 6 Cylinder Engine Gasoline Fuel";"Automatic";"Black";"Black";"None reported";"Yes";49750;325;6
"Lincoln";2021;1850;"Plug-In Hybrid";"266.0HP 2.5L 4 Cylinder Engine Plug-In Electric/Gas";"Automatic";"Silver";"Beige";"None reported";"Yes";49000;266;4
"Cadillac";2008;94155;"Gasoline";"275.0HP 4.6L 8 Cylinder Engine Gasoline Fuel";"Automatic";"White";"Beige";"None reported";"Yes";10500;275;8
"Cadillac";2016;25000;"Gasoline";"335.0HP 3.6L V6 Cylinder Engine Gasoline Fuel";"Automatic";"Red";"Beige";"None reported";"Yes";17999;335;6
"GMC";2016;99500;"Gasoline";"355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel";"Automatic";"Gray";"Black";"None reported";"Yes";27995;355;8
"INFINITI";2009;158564;"Gasoline";"328.0HP 3.7L V6 Cylinder Engine Gasoline Fuel";"Automatic";"Blue";"Beige";"None reported";"Yes";8750;328;6
"Ford";2023;20000;"Gasoline";"310.0HP 3.5L V6 Cylinder Engine Gasoline Fuel";"Automatic";"Black";"Black";"None reported";"Yes";78499;310;6
